cod_gl_res144_indec,provincia,departamento,nombre_del_gobierno_local,categoria_de_gobierno,gobierno_local_con_paso_o_centro_fronterizo,gobierno_local_que_pertenece_a_un_aglomerado_urbano,poblacion_censo_2010,localidades_administradas_por_el_gobierno_local,distancia_a_la_capital_provincial,distancia_a_la_capital_alterna,perfil_economico_de_la_region,cantidad_de_parques_industriales_renpi,incendios_reportados_en_el_periodo_1999-2022,inundaciones_reportadas_en_el_periodo_1999-2022,fiestas_locales,sitio_web,direccion_postal_de_la_sede_de_gobierno,telefonos_sede_de_gobierno,apellido_y_nombre_de_la_maxima_autoridad.,latitud,longitud
60007,Buenos Aires,Adolfo Alsina,Adolfo Alsina,Municipio,No,No,  17.072 ,Carhué -  Colonia San Miguel Arcángel -  Delfín Huergo -  Espartillar -  Esteban Agustín Gascón -  La Pala -  Leubucó -  Maza -  Rivera -  Villa Margarita -  Yutuyaco        ,"493,4 KM","469,7 KM",Industrial - Primario,1,0,0,Fiesta Provincial del Turismo Termal (Febrero) - Aniversario de la Creación del Distrito de Adolfo Alsina (Julio) - Vuelta al Lago Epecuén (Noviembre) - Fiesta de las Colectividades (Octubre) - La Fortinera Gran Encuentro de Peñas (Noviembre) - Festival de la Cerveza Artesanal 1/2 Pinta (Noviembre) -,www.adolfoalsina.gov.ar,Rivadavia y Pellegrini - (6430) CARHUÉ,(02936) 43-0575 ,"Andrés, Javier ",-62.75999039,-37.1794832645
60014,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,Municipio,No,No,  12.047 ,Adolfo Gonzales Chaves -  De La Garma -  Juan E. Barra -  Vásquez ,"390,6 KM","224,4 KM",Industrial,1,0,1,Aniversario de la Fundacióndel Partido de Adolfo Gonzáles Chaves (Agosto) - Fiesta de los Reyes Magos (Enero) - Aniversario de la Fundaciónde la Ciudad de Adolfo Gonzáles Cháves (Junio) - Fiesta del Asado Pampeano (Abril) -,www.gonzaleschaves.gob.ar,Juan Elicagaray y Mitre - (7513) ADOLFO GONZALES C,(02983) 48-4447,"Santillan, Marcelo",-60.0993919273,-38.0323707296
60021,Buenos Aires,Alberti,Alberti,Municipio,No,No,  10.654 ,Achupallas -  Alberti -  Coronel Seguí -  Mechita -  Pla -  Villa María -  Villa Ortiz          ,"205,7 KM","411,7 KM",Industrial,2,0,4,Fiesta de la Harina (Diciembre) - Aniversario de la Fundacióndel Partido de Alberti (Junio) - Semana de la Juventud (Septiembre) - Fiesta del Ferroviario (Marzo) -,www.alberti.gov.ar,Alem y 9 de Julio - (6634) ALBERTI,"(02346) 47-0215,(02346) 47-0034 ","Lago, Germán",-60.2802860162,-35.0315746234
60028,Buenos Aires,Almirante Brown,Almirante Brown,Municipio,No,Si,  552.902 ,Adrogué - Burzaco - Claypole - Don Orione - Glew - José Mármol - Longchamps - Malvinas Argentinas - Ministro Rivadavia - Rafael Calzada - San Francisco Solano - San José ,"36,5 KM","364,8 KM",Industrial,1,0,0,FICCAB - Festival de Cine Internacional de Almirante Brown (Noviembre) - Festival Star Wars (Octubre) - fundacion- Festival de la Cultura Latinoamericana (Abril) - Semana Browniana del Tango (Octubre) - Canta Brown (Diciembre) - Matsuri Festival Japonés (Marzo) - Expogranja y Fiesta Tradicionalista (Septiembre) - Freestyle (Septiembre) - Festejos Día de la Tradición (Noviembre) -,www.almirantebrown.gov.ar,Plaza Brown 250 - (1846) ADROGUÉ,"(011) 5034-9933,(011) 5034-9913","Fabiani, Juan José",-58.3884529299,-34.7973726761
60035,Buenos Aires,Avellaneda,Avellaneda ,Municipio,No,Si,  342.677 ,Área Reserva Cinturón Ecológico - Avellaneda - Crucesita - Dock Sud - Gerli - Piñeyro - Sarandí - Villa Domínico - Wilde         ,"43,3 KM","378,9 KM",Industrial,1,0,0,Aniversario de la Fundación del Partido de Avellaneda (Abril) - Encuentro Cervecero (Abril) -,www.mda.gob.ar,Güemes 835 - (1870) AVELLANEDA,"(011) 5227-7000 ,-","Ferraresi, Jorge ",-58.3627373528,-34.663829518
60042,Buenos Aires,Ayacucho,Ayacucho,Municipio,No,No,  20.337 ,Ayacucho -  La Constancia -  Solanet -  Udaquiola     ,"249,4 KM","126,4 KM",Industrial,0,0,2,Festival de Cine Rural (Agosto) - Aniversario del Partido de Ayacucho (Junio) - Exposición Ganadera (Junio) - Certamen Nacional de Canto (Marzo) - Fiesta Nacional del Ternero y Día de la Yerra (Marzo) - Fiesta del Asador (Noviembre) - Al Trabajador de mi pueblo (Octubre) - Fiesta de la Repostería Criolla (Septiembre) -,www.ayacucho.gob.ar,Alem 1048 - (7150) AYACUCHO,(02296) 45-9000 ,"Cordonnier, Emilio",-58.4883791745,-37.1527609909
60049,Buenos Aires,Azul,Azul,Municipio,No,No,  65.280 ,16 de Julio -  Ariel -  Azul -  Cacharí -  Chillar -  Parish    ,"262,9 KM","246,7 KM",Industrial,2,0,1,Encuentro Mototuristico de Semana Santa (Abril) - Aniversario de la Fundaciónde Azul (Diciembre) - Azul Rock (Diciembre) - Fiesta Nacional de la Miel (Junio) - Fiesta del Títere (Mayo) - Fiesta de las Colectividades (Noviembre) - Festival Cervantino (Octubre) - Fiesta del Chacarero y Encuentro Ganadero (Marzo) -,www.azul.gov.ar,Hipólito Irigoyen 424 - (7300) AZUL,(02281) 43-9500,"Bertellys, Federico",-59.8634430461,-36.7774470033
60056,Buenos Aires,Bahía Blanca,Bahía Blanca,Municipio,No,Si,  301.572 ,Bahía Blanca -  Cabildo -  General Daniel Cerri            ,"565,7 KM","420,8 KM",Industrial,1,0,0,"Aniversario de la Fundaciónde Bahía Blanca (Abril) - Fiesta Anual Tradicionalista (Abril) - Circuito de Reyes (Enero) - Jornadas Gardelianas (Junio) - Feria de la Producción, el Trabajo, el Comercio, y los Servicios del Sur Argentino (Marzo) - Festival Internacional de Artes Escénicas Bahía Teatro (Mayo) - Semana de la Gastronomía (Noviembre) - Encuentro de Estatuas Vivientes (Noviembre) - Fecilbba (Noviembre) - Exposición Nacional de Ganadería, Comercio e Industria (Octubre) - Encuentro Nacional de Artesanos (Octubre) - Festival de Cultura China (Septiembre) - Bafici Bahía (Septiembre) - Fiesta de la Comida Mediterránea (Octubre) - Fiesta Nacional del Camarón y el Langostino (Abril) -",www.bahiablanca.gov.ar,Alsina 65 - (8000) BAHÍA BLANCA,"(0291) 459-4000,(0291) 459-4050","Gay, Hector",-62.2727419997,-38.7227702774
60063,Buenos Aires,Balcarce,Balcarce,Municipio,No,No,  43.823 ,Balcarce -  Los Pinos -  Napaleofú -  Ramos Otero -  San Agustín -  Villa Laguna La Brava    ,"323,7 KM","65,1 KM",Industrial,2,0,1,Aniversario de la creación del Partido de Balcarce (Agosto) - Balcarce Folclóre (Enero) - Fiesta Nacional del Automovilismo (Febrero) - Fiesta Nacional del Postre de Balcarce (Julio) - Encuentro Salomónico (Junio) - Encuentro de Camiones (Octubre) - Aniversario de San Agustín (Mayo) -,www.balcarce.gob.ar,Av. del Valle y 16 - (7620) BALCARCE,"(02266) 42-2119 ,(02266) 42-4044","Reino, Esteban Andrés",-58.2554911691,-37.8463826226
60070,Buenos Aires,Baradero,Baradero,Municipio,No,No,  32.761 ,Baradero -  Irineo Portela -  Quebradas -  Santa Coloma -  Villa Alsina           ,185 KM,"499,3 KM",Industrial,2,0,1,"Día Nacional del Tango (Diciembre) - Festival Nacional de Música Popular Argentina (Febrero) - Aniversario de Baradero (Julio) - Rock en Baradero (Marzo) - Baradero Under Rock (Octubre) - Fiesta del Mate (Octubre) - Triatlon Baradero (Octubre) - Aniversario de ""El Resero"" - Fiesta de Doma y Folclóre (Octubre) - Festival de los Pueblos (Septiembre) - Aniversario de la Fundaciónde la Primera Colonia Agrícola del País (Febrero) - Fiesta del Guiso Carrero y el Pastel (Mayo) - Fiesta del Mondongo y la Torta frita (Mayo) - Fiesta del Locro y la Empanada (Julio) -",www.baradero.gob.ar,San Martín 905 - (2942) BARADERO,(03329) 48-2900,"Sanzio, Esteban ",-59.5022278344,-33.8070727747
60077,Buenos Aires,Arrecifes,Arrecifes,Municipio,No,No,  29.044 ,Arrecifes -  Todd -  Viña            ,"214,2 KM","495,2 KM",Industrial,0,0,3,Festival de la Estación (Febrero) - Arrecifes Rock (Julio) - Fiesta del Lechón Artesanal (Mayo) - Fiesta Provincial del Automovilismo- Arrecifes cuna de campeones (Octubre) - Gran Vuelta del Cicloturismo (Septiembre) - Fiesta del Buñuelo en Todd (Noviembre) -,arrecifes.gob.ar,R. Gutiérrez y Saavedra - (2740) ARRECIFES,(02478) 45-4822,"Olaeta, Javier",-60.1086915854,-34.0675149077
60084,Buenos Aires,Benito Juárez,Benito Juárez,Municipio,No,No,  20.239 ,Barker -  Benito Juárez -  López -  Tedín Uriburu -  Villa Cacique           ,"343,2 KM","202,4 KM",Industrial,1,0,1,Fiesta Anual Tradicionalista (Febrero) - Aniversario de la Fundacióndel Partido de Benito Juárez (Octubre) - Fiesta Provincial de la Frambuesa (Febrero) - Fiesta del Dulce Casero (Mayo) -,www.benitojuarez.gov.ar,Av. Mitre 42 - (7020) BENITO JUÁREZ,"(02292) 45-1400,(02292) 45-1404","Marini, Julio Cesar",-59.8048051838,-37.674284978
60091,Buenos Aires,Berazategui,Berazategui,Municipio,No,Si,  324.244 ,Berazategui - Berazategui Oeste - Carlos Tomás Sourigues - El Pato - Guillermo Enrique Hudson - Juan María Gutiérrez - Pereyra - Plátanos - Ranelagh - Villa España  ,"25,9 KM","365,6 KM",Industrial,5,0,1,Berazategui Jazz (Agosto) - Salón del Automóvil Clásico (Julio) - Festival Internacional de Jazz Django Argentina (Mayo) - Feria del Libro de Berazategui LibrArte (Octubre) - Fiesta del Inmigrante en Berazategui (Octubre) - Bera Rock (Septiembre) - Salón Nacional del Vidrio en el Arte (Septiembre) -,www.berazategui.gov.ar,Av. Mitre y Calle 14 - (1884) BERAZATEGUI,(011) 4356-9200,"Mussi, Juan José",-58.2121691471,-34.763016322
60098,Buenos Aires,Berisso,Berisso,Municipio,No,Si,  88.470 ,Barrio Banco Provincia - Barrio El Carmen Este - Barrio Universitario - Berisso - Los Talas - Villa Argüello - Villa Dolores - Villa Independencia - Villa Nueva - Villa Porteña - Villa Progreso - Villa San Carlos - Villa Zula       ,"15,5 KM","350,1 KM",Industrial,1,0,1,Fiesta de las Cervezas Artesanales Berisso (Diciembre) - Siete Domingos de Folclóre (Enero) - Fiesta del Vino de la Costa (Julio) - Festival de la Cultura Eslava (Junio) - Aniversario de la Fundaciónde Berisso (Junio) - Fiesta del Provinciano (Noviembre) - Fiesta Provincial del Inmigrante (Septiembre) - Fiesta del Isleño (Noviembre) - Fiesta de la Primavera (Septiembre) - Fiesta del Pejerrey (Mayo) -,berisso.gov.ar,Calle 6 y Calle 166 - (1923) BERISSO,"(0221) 464-4791  ,(0221) 464-5069,(0221) 464-4776,(0221) 464-5072","Cagliardi, Fabián ",-57.8833253401,-34.8702938013
60105,Buenos Aires,Bolívar,Bolívar,Municipio,No,No,  34.190 ,Hale -  Juan F. Ibarra -  Paula -  Pirovano -  San Carlos de Bolívar -  Urdampilleta -  Villa Lynch Pueyrredón          ,"314,1 KM","373,7 KM",Industrial - Primario,1,0,5,Fiesta del Chorizo Seco (Agosto) - Fiesta del Cerdo en Ibarra (Mayo) - Pirovano Canta (Enero) - Fiesta del Chorizo Seco (Septiembre) - Expo Rural Bolívar (Septiembre) - Festival de Cine Nacional Leonardo Favio (Agosto) - Fiesta del Asado con Cuero (Diciembre) - Fiesta de la Torta Frita por el día del Amigo (Julio) - Me Encanta Bolívar (Marzo) - Fiesta del Locro Gigante (Mayo) - Fiesta Regional del Jamón Crudo (Mayo) - Fiesta del Chorizo Seco (Julio) - Fiesta Regional del Chorizo seco y la Galleta de campo (Octubre) -,www.bolivar.gob.ar,Belgrano 11 - (6550) BOLÍVAR,"(02314) 42-7203 ,(02314) 42-7436","Pisano, Marcos",-61.1139170852,-36.2298792676
60112,Buenos Aires,Bragado,Bragado,Municipio,No,No,  41.336 ,Asamblea -  Bragado -  Comodoro Py -  Eduardo O'Brien -  Irala -  Juan F. Salaberry -  La Limpia -  Mechita -  Olascoaga -  Warnes  ,"225,3 KM","415,8 KM",Industrial,1,0,3,Feria del Libro en Bragado (Agosto) - Expovinos Bragado (Agosto) - Encuentro Regional De Artesanos (Mayo) - Fiesta de la Tradición (Noviembre) - Fiesta Nacional del Caballo (Octubre) - Revancha Doble Bragado (Octubre) - Concurso del Chorizo Seco (Agosto) - Fiesta del Agricultor y Fundaciónde la localidad de Irala (Septiembre) - Fiesta Tradicionalista (Noviembre) - Fiesta de la Pachamama (Agosto) -,www.bragado.gov.ar,Alsina 178 - (6640) BRAGADO,(02342) 54-1200,"Gatica, Hector Vicente",-60.4896499899,-35.1155662798
60119,Buenos Aires,Brandsen,Brandsen,Municipio,No,No,  26.367 ,Altamirano -  Barrio El Mirador -  Barrio Las Golondrinas -  Barrio Las Plantaciones -  Barrio Los Bosquecitos -  Barrio Parque Las Acacias -  Campos de Roca -  Club de Campo Las Malvinas -  Coronel Brandsen -  Gómez -  Jeppener -  Oliden -  Posada de los Lagos -  Samborombón ,"31,5 KM","321,7 KM",Industrial,0,0,2,Festival Homenaje a Tamara Castro (Diciembre) - Expo Brandsen (Octubre) - Festival del Canto y la Danza (Enero) - Fiesta de Aniversario de la Creación del Partido de Brandsen (Octubre) - Fiesta de la Galleta de Campo (Noviembre) -,www.brandsenbsas.com.ar,Sáenz Peña 2752 - (1980) CORONEL BRANDSEN,(02223) 44-2318,"Capelletti, Oscar Daniel",-58.2373302327,-35.1679594242
60126,Buenos Aires,Campana,Campana,Municipio,No,No,  94.461 ,Barrio Los Pioneros (Barrio Tavella) -  Campana      ,"121,4 KM",446 KM,Industrial,1,0,2,Fiesta del Primer Automóvil Argentino (Diciembre) - Aniversario de la creación del partido de Campana (Julio) - Virgen del Rosario del Rincón del Canchillo (Septiembre) -,www.campana.gov.ar,Av. Rivadavia 371 - (2804) CAMPANA,"(03489) 40-7000 ,(03489) 40-7114","Abella, Sebastián",-58.95920775,-34.1632540249
60134,Buenos Aires,Cañuelas,Cañuelas,Municipio,No,Si,  51.892 ,Alejandro Petión -  Barrio El Taladro -  Barrio San Esteban - Barrio Los Pozos -  Chacras de la Tinidad -  Gobernador Udaondo -  Cañuelas -  Uribelarrea -  Máximo Paz   ,68 KM,346 KM,Industrial,1,0,1,"Encuentro de Sogueros y Guasqueros Entre Lonjas y Leznas (Abril) - Aniversario de Cañuelas (Enero) - Tiempo de Gauchos (Marzo) - Fiesta Provincial del Dulce de Leche - Exposición Regional, Comercial y Agroindustrial Expo Cañuelas (Noviembre) - Uribe Celebra San Juan (Julio) - Fiesta de la Picada y la Cerveza Artesanal (Noviembre) -",www.canuelas.gov.ar,Av. Libertad y del Carmen - (1814) CAÑUELAS,(02226) 42-1691,"Fassi, Marisa ",-58.7619911854,-35.0538388362
60140,Buenos Aires,Capitán Sarmiento,Capitán Sarmiento,Municipio,No,No,  14.494 ,Capitán Sarmiento -  La Luisa      ,"183,1 KM","472,1 KM",Industrial,0,0,1,Cabalgatas Criollas (Abril) - Fiesta Regional de Comidas Tradicionales (Enero) - Encuentro Nacional de Artesanías Cahuane- Encuentro de Jóvenes artesanos del País (Marzo) - Fiesta de la Pastafrola (Septiembre) -,www.capitansarmiento.gob.ar,Centenario 499 - (2752) CAPITÁN SARMIENTO,"(02478) 48-1026,(02478) 48-1027","Iguacel, Javier ",-59.7935986805,-34.1712798491
60147,Buenos Aires,Carlos Casares,Carlos Casares,Municipio,No,No,  22.237 ,Bellocq -  Cadret -  Carlos Casares -  Colonia Mauricio -  Hortensia -  La Sofía -  Mauricio Hirsch -  Moctezuma -  Ordoqui -  Santo Tomás -  Smith        ,"312,7 KM","431,9 KM",Industrial - Primario,1,0,3,Aniversario de la Autonomía de Carlos Casares (Enero) - Fiesta Nacional del Girasol (Febrero) - Huellas de Fortines (Abril) - Festival de jinetes de Smith (Febrero) - Fiesta Zonal del ladrillo artesanal (Noviembre) -,www.casares.gov.ar,Monseñor D'Andrea 25 - (6530) CARLOS CASARES,"(02395) 45-1100,(02395) 45-1101,(02395) 45-1102,(02395) 45-1103","Stadnik, Daniel ",-61.3654951314,-35.6224737493
60154,Buenos Aires,Carlos Tejedor,Carlos Tejedor,Municipio,No,No,  11.570 ,Carlos Tejedor -  Colonia Seré -  Curarú -  Timote -  Tres Algarrobos           ,403 KM,"523,7 KM",Industrial - Primario,0,0,4,Aniversario de Carlos Tejedor (Enero) -,www.carlostejedor.gob.ar,Almirón 301 - (6455) CARLOS TEJEDOR,"(02357) 42-0077 ,(02357) 42-0052","Gianini de Lafluer, Maria Celia ",-62.4199534608,-35.3914863099
60161,Buenos Aires,Carmen de Areco,Carmen de Areco,Municipio,No,No,  14.692 ,Carmen de Areco -  Pueblo Gouin -  Tres Sargentos            ,"175,9 KM","452,7 KM",Industrial,0,0,1,Fiesta Aniversario del Partido de Carmen de Areco (Septiembre) - Aniversario de Gouin (Abril) - Fiesta Nacional del Pastel (Diciembre) - Fiestas Patronales San Agustín (Septiembre) - Fiesta de los Tres Argentos (Octubre) -,www.areco.gob.ar,Moreno 541 - (6725) CARMEN DE ARECO,"(02273) 44-2019,-","Villagran, Ivan ",-59.8226965331,-34.3766620789
60168,Buenos Aires,Castelli,Castelli,Municipio,No,No,  8.205 ,Castelli -  Centro Guerrero -  Cerro de la Gloria            ,"129,5 KM","214,3 KM",Primario - Industrial,1,0,2,"Fiesta religiosa ""Obra Teatral Jesús, El Camino…"" (Abril) - Aniversario de Castelli (Agosto) -",www.castelli.gob.ar,Av. 25 de Mayo 205 - (7114) CASTELLI,(02245) 48-010,"Echarren, Sebastián ",-57.8074789991,-36.0909178516
60175,Buenos Aires,Colón,Colón ,Municipio,No,No,  24.890 ,Colón -  Pearson -  Sarasa -  Villa Manuel Pomar     ,"305,1 KM","558,2 KM",Industrial,0,0,1,Rally de Colón (Junio) - Feria Provincial de Artesanos (Mayo) -,www.municipalidaddecolon.com,Calle 51 E/17 y 18 - (2720) COLÓN," (02473) 43-0405/10,-","Casi, Ricardo",-61.0994163617,-33.8971263968
60182,Buenos Aires,Coronel de Marina Leonardo Rosales,Coronel Rosales,Municipio,No,No,  62.152 ,Bajo Hondo -  Calderón -  Pago Chico -  Pehuen Co -  Punta Alta -  Villa General Arias    ,"567,3 KM","407,6 KM",Industrial,0,1,0,"Fiesta Provincial de comida al disco ""A Mar y Campo"" (Noviembre) - Pehuen de Primavera (Octubre) - Fiesta de Año Nuevo “Hasta que Salga el Sol” (Enero) - Fiesta de los Humedales (Febrero) -",www.rosalesmunicipio.gob.ar,Rivadavia 580 - (8109) PUNTA ALTA,0800-999-7672,"Uset, Mariano Cecilio",-62.0794804611,-38.8781733536
60189,Buenos Aires,Coronel Dorrego,Coronel Dorrego,Municipio,No,No,  15.825 ,Aparicio -  Coronel Dorrego -  El Perdido -  Faro -  Irene -  Los Eucaliptus -  Marisol -  Oriente -  Paraje La Ruta -  San Román  ,"510,8 KM","336,7 KM",Industrial,1,0,0,Fiesta del Chorizo Seco (Septiembre) - Concurso de Pesca en el Balneario Marisol (Enero) - Aniversario de la Creación de la ciudad de Coronel Dorrego (Abril) - Fiesta Provincial del Olivo (Abril) - Fiesta Provincial de las Llanuras (Noviembre) - Concurso Corvina de Mayor Peso (Noviembre) - Fiesta de los Inmigrantes (Noviembre) - Exposición Rural (Septiembre) - Fiesta Anual Tradicionalista de la “Agrupación Gaucha Los de Fierro” (Marzo) - Fiesta de los Alemanes del Volga (“Wolgadeutsche”) (Octubre) - El Perdido Corre (Septiembre) -, dorrego.gob.ar/mcd,Av. Ricardo Fuertes 630 - (8150) CORONEL DORREGO,"(02921) 45-2212 Int. 220 ,(0921) 45-3366","Reyes, Raúl Germán ",-61.2883602471,-38.7187998749
60196,Buenos Aires,Coronel Pringles,Coronel Pringles,Municipio,No,No,  22.933 ,Coronel Pringles -  El Divisorio -  El Pensamiento -  Indio Rico -  Lartigau           ,"450,7 KM","334,3 KM",Industrial,1,0,1,Fiesta del Ovino (Mayo) - Fiesta Tradicionalista del Fogón de los Gauchos (Noviembre) - Exposición Rural de Coronel Pringles (Septiembre) - Aniversario de la localidad de Coronel Pringles (Septiembre) - Fiesta Aniversario de Indio Rico (Febrero) - Fiesta del Cordero al Disco (Febrero) -,www.coronelpringles.gov.ar,Av. 25 de Mayo entre 5 y 6 - (7530) CORONEL PRINGL,"(02922) 46-6166 ,(02922) 46-6149","Matzkin, Lisandro",-61.3503974316,-37.9856677756
60203,Buenos Aires,Coronel Suárez,Coronel Suárez,Municipio,No,No,  38.320 ,Cascada -  Coronel Suárez -  Curamalal -  D'Orbigny -  Huanguelén -  Pasman -  San José -  Santa María -  Santa Trinidad -  Villa La Arcadia  ,"448,9 KM","391,6 KM",Industrial,2,0,1,"Aniversario de la creación del Distrito y el Aniversario de la creación de la ciudad cabecera. (Agosto) - Aniversario de los Alemanes de Volga (Noviembre) - Tantanakuy (Octubre) - Expo Rural Suarense (Octubre) - Fiesta de la Colectividades (Septiembre) - Aniversario Pueblo San José (Abril) - ""Schlachtfest"" Fiesta de la Carneada (Julio) - Kerb del Pueblo de San José (Mayo) - Füllsen Fest (Noviembre) - Fiesta de la Cerveza (Septiembre) - Fiesta del Strudel (Marzo) - Feria de Vinos y Arte de Coronel Suárez (Septiembre) - Fiestas Patronales ""Pueblo Santa María"" (Kerb) (Septiembre) - Fiesta Patronal o Kerb (Octubre) -",www.coronelsuarez.gob.ar,Av. Alsina 150 - (7540) CORONEL SUÁREZ,(02926) 429 200,"Moccero, Ricardo",-61.932893831,-37.4585289182
60210,Buenos Aires,Chacabuco,Chacabuco,Municipio,No,No,  48.703 ,Castilla -  Chacabuco -  Los Ángeles -  O'Higgins -  Rawson           ,"225,9 KM","457,2 KM",Industrial,1,0,1,Aniversario de la Fundaciónde Chacabuco (Agosto) - Fiesta Nacional del Maíz (Septiembre) - Fiesta Regional de la Empanada (Enero) - Aniversario de Rawson (Marzo) - Fiesta Provincial de la Primavera (Noviembre) - Fiesta del Alfajor (Septiembre) -,www.chacabuco.gob.ar,Reconquista 25 - (6740) CHACABUCO,"(02352) 43-1300,(02352) 43-1305","Aiola, Victor",-60.4712365319,-34.6420259874
60218,Buenos Aires,Chascomús,Chascomús,Municipio,No,No,  42.277 ,Adela -  Barrio Lomas Altas -  Chascomús -  Don Cipriano -  Laguna Vitel -  Villa Parque Girado    ,"70,4 KM","273,7 KM",Industrial,0,0,2,Semana del Tango (Abril) - Fiesta del Disco (Diciembre) - Vuelta a la Laguna (Febrero) - Fiesta del Payador (Julio) - Feria del Libro de Chascomús L.E.E.R. (Junio) - Carnaval Infantil (Marzo) - Festival de Cine de Chascomús (Mayo) - Aniversario de la Ciudad de Chascomús (Mayo) - Domingo Santiagueño (Noviembre) - Maratón Solidaria Horacio Mazzanti (Noviembre) - Aguas Abiertas (Noviembre) - Gran Premio Ciudad de Chascomús (Octubre) - Fiesta del Inmigrante de Chascomús (Octubre) - Encuentro Helicach (Octubre) - Peregrinación a pie alrededor de la Laguna de Chascomús (Septiembre) - Fiesta del Repechaje (Septiembre) - Festejos del Día de la Diáspora Vasca (Septiembre) -,www.chascomus.gob.ar,Crámer 270 - (7130) CHASCOMÚS,"(02241) 43-1341,(02241) 43-1342","Gastón, Javier",-58.0112814411,-35.5742063886
60224,Buenos Aires,Chivilcoy,Chivilcoy,Municipio,No,No,  64.185 ,Benítez -  Chivilcoy -  Emilio Ayarza -  Gorostiaga -  La Rica -  Moquehuá -  Palemón Huergo -  Ramón Biaus -  San Sebastián         ,"181,8 KM","410,8 KM",Industrial,1,0,2,Fiesta Día Nacional del Gaucho (Diciembre) - Aniversario de Chivilcoy (Octubre) -,www.chivilcoy.gov.ar,25 de Mayo 35 - (6620) CHIVILCOY,"(02316) 45-2245,(02316) 45-3275,(02316) 45-2133","Britos, Guillermo Alejandro",-60.0190913737,-34.8968958293
60231,Buenos Aires,Daireaux,Daireaux,Municipio,No,No,  16.889 ,Andant -  Arboledas -  Daireaux -  La Larga -  La Manuela -  Salazar    ,"383,4 KM","404,1 KM",Industrial - Primario,1,0,5,Fiesta Regional del Cordero (Noviembre) - Fiesta del Sabor Alemán (Octubre) - Festival de la Fortinera Deroense (Enero) - Aniversario de la Autonomía Distrital de Daireaux (Julio) - Concurso de Pesca Embarcado (Julio) -,www.daireaux.gob.ar,Levalle 150 - (6555) DAIREAUX,(02316) 452 133,"Acerbo, Esteban Alejandro",-61.7475424062,-36.5996329368
60238,Buenos Aires,Dolores,Dolores,Municipio,No,No,  27.042 ,Dolores -  Sevigné      ,"156,2 KM","188,4 KM",Primario - Industrial,1,0,1,"Fiesta Religiosa ""La Pasión según San Juan"" (Abril) - Festejos por el Aniversario de la Fundaciónde Dolores (Agosto) - Fiesta de las Colectividades (Diciembre) - Encuentro Nacional de Kayakistas de Travesía (Diciembre) - Carnaval del Sol (Febrero) - Fiesta de la Independencia (Julio) - Encuentro Nacional de Payadores (Julio) - Fiesta Nacional de la Guitarra (Marzo) - Fiesta de la Torta Argentina (Mayo) - Festival Aéreo (Noviembre) - Fiesta del Emprendedor (Noviembre) - Fiesta del Empleado Ferroviario (Octubre) -",www.dolores.gob.ar,Castelli y San Martín - (7100) DOLORES,(02245) 446 060,"Etchevarren, Luis Camilo",-57.6754615552,-36.3153891838
60245,Buenos Aires,Ensenada,Ensenada,Municipio,No,Si,  56.729 ,Dique N° 1 - Ensenada - Isla Santiago - Punta Lara - Villa Catela           ,"14,1 KM","351,2 KM",Industrial,0,0,0,Aniversario de la Ciudad de Ensenada (Mayo) -,www.ensenada.gov.ar,Don Bosco y La Merced - (1925) ENSENADA,"(0221) 469-1042,(0221) 469-1704","Secco, Mario",-57.9089420564,-34.8624180182
60252,Buenos Aires,Escobar,Escobar,Municipio,No,Si,  213.619 ,Belén de Escobar - El Cazador - Garín - Ingeniero Maschwitz - Loma Verde - Maquinista F. Savio Este - Matheu          ,"96,4 KM","422,3 KM",Industrial,2,0,0,Fiesta de la festividad de los Chutillos (Agosto) - Fiesta Nacional de la Isla y del Habitante Isleño (Febrero) - Fiesta del Pollo al Barro (Junio) - Rally de la Oveja (Junio) - Aniversario de Belén de Escobar (Marzo) - Encuentro Día de la Identidad de los Pueblos (Mayo) - Somos Diversidad (Noviembre) - Aniversario del Partido de Escobar (Octubre) - Oktoberfest - Fiesta de la Cerveza (Octubre) - Fiesta Nacional de la Flor (Septiembre/oc) - Fogata de San Juan de Maschwitz (Junio) -,www.escobar.gob.ar,Estrada 599 - (1625) BELEN DE ESCOBAR,"(0348) 443-0000,(0348) 443-0001,(0348) 443-0002,011-2150-0370 ","Ramil, Carlos Alberto",-58.7944154648,-34.3460457336
60260,Buenos Aires,Esteban Echeverría,Esteban Echeverría,Municipio,No,Si,  300.959 ,9 de Abril - Canning - El Jagüel - Luis Guillón - Monte Grande           ,"42,4 KM","364,3 KM",Industrial,0,0,0,Festival de Música Clásica (Junio) -,www.estebanecheverria.gov.ar,Sofia T. de Santamarina 455 - (1842) MONTE GRANDE,(011) 4367-6200,"Gray, Fernando",-58.4682642289,-34.8163558069
